unique_id,category,variation,nice_name,artist,mafia_name,twitter,instagram,filename paste,file,inches,inch_variance,radius_max,serving_min,serving_max,pie_count,layer
5290,topping-pepper,,,,,,,5290-topping-pepper-,N,,,,,,,
5300,topping-pepper,,,,,,,5300-topping-pepper-,N,,,,,,,
5310,topping-pepper,,,,,,,5310-topping-pepper-,N,,,,,,,
5400,topping-fungi,mushrooms,Mushrooms,N.Sputnik (Nick),,,,5400-topping-fungi-mushrooms,Y,1.5,,,,,,
5410,topping-fungi,truffles,Truffle Pig,Reem Chahrour,,,,5410-topping-fungi-truffles,Y,2,,,,,,
5420,topping-fungi,magicmushroom,Magic Mushroom,LaLa Gardens,,,,5420-topping-fungi-magicmushroom,Y,4,,,,,,
5421,topping-fungi,magicmushroom,Magic Mushroom,LaLa Gardens,,,,5421-topping-fungi-magicmushroom,Y,4,,,,,,
5422,topping-fungi,magicmushroom,Magic Mushroom,LaLa Gardens,,,,5422-topping-fungi-magicmushroom,Y,4,,,,,,
5430,topping-fungi,spaceshroom,Space Shroom,TK Al-Mahti,,,,5430-topping-fungi-spaceshroom,Y,2,,,,,,
5431,topping-fungi,spaceshroom,Space Shroom,TK Al-Mahti,,,,5431-topping-fungi-spaceshroom,Y,2,,,,,,
5440,topping-fungi,porcini,Porcini,@hyper.aesthetics ,,,,5440-topping-fungi-porcini,Y,2,,,,,,
5441,topping-fungi,porcini,Porcini,@hyper.aesthetics ,,,,5441-topping-fungi-porcini,Y,2,,,,,,
5450,topping-fungi,trufflepig,Truffle Pig,caygen,,,,5450-topping-fungi-trufflepig,Y,3,,,,,,
5451,topping-fungi,trufflepig,Truffle Pig,caygen,,,,5451-topping-fungi-trufflepig,Y,3,,,,,,
5460,topping-fungi,psilocybin,Psilocybin,??????????????,,,,5460-topping-fungi-psilocybin,Y,4,,,,,,
5500,topping-nut,pistachios,Pistachios,BentleGiant,,,,5500-topping-nut-pistachios,Y,0.5,,,,,,
5501,topping-nut,pistachios,Pistachios,BentleGiant,,,,5501-topping-nut-pistachios,Y,0.5,,,,,,
5510,topping-nut,pinenuts,Pinenuts,Carlos,,,,5510-topping-nut-pinenuts,Y,0.25,,,,,,
5520,topping-nut,peanuts,Peanuts,Edom,,,,5520-topping-nut-peanuts,Y,1,,,,,,
5521,topping-nut,peanuts,Peanuts,Edom,,,,5521-topping-nut-peanuts,Y,1,,,,,,
5522,topping-nut,peanuts,Peanuts,Edom,,,,5522-topping-nut-peanuts,Y,1,,,,,,
5530,topping-nut,pecans,Pecans,??????????????,,,,5530-topping-nut-pecans,N,0.75,,,,,,
5600,topping-vegetable,leek,Miku Leek,Michelle Grepo,,,,5600-topping-vegetable-leek,Y,9,,,,,,
5610,topping-vegetable,vegansausage,Vegan Sausage,John Caldwell,,,,5610-topping-vegetable-vegansausage,Y,5,,,,,,
5611,topping-vegetable,vegansausage,Vegan Sausage,John Caldwell,,,,5611-topping-vegetable-vegansausage,Y,5,,,,,,
5612,topping-vegetable,vegansausage,Vegan Sausage,John Caldwell,,,,5612-topping-vegetable-vegansausage,Y,5,,,,,,
5613,topping-vegetable,vegansausage,Vegan Sausage,John Caldwell,,,,5613-topping-vegetable-vegansausage,Y,5,,,,,,
5614,topping-vegetable,vegansausage,Vegan Sausage,John Caldwell,,,,5614-topping-vegetable-vegansausage,Y,5,,,,,,
5620,topping-vegetable,cactus,Cactus,Amber Tran,,,,5620-topping-vegetable-cactus,Y,4,,,,,,
5621,topping-vegetable,cactus,Cactus,Amber Tran,,,,5621-topping-vegetable-cactus,Y,4,,,,,,
